No.,Spec,feature,sub feature,sub feature,sub feature,test  describtion,,,,priority,level,coverage,testcase,,,,
,,,release通道address（Tilelink C通道）,,,,,,,,,,,,,,
,,,,,,"当前存在正在执行的miss写回请求时，Tilelink总线acquire通道可接受请求,c_address pg_idx部分为min",Tilelink总线写回数据正确,"auto_client_out_c_valid，auto_client_out_c_ready，
auto_client_out_c_bits_address[36:12],","auto_client_out_c_valid=1，auto_client_out_c_ready=1，
auto_client_out_c_bits_address[36:12]=min",,,tlcc_gp,tc_dcache_release,,,,
,,,,,,"当前存在正在执行的miss写回请求时，Tilelink总线acquire通道可接受请求,c_address pg_idx部分为max",Tilelink总线写回数据正确,"auto_client_out_c_valid，auto_client_out_c_ready，
auto_client_out_c_bits_address[36:12],","auto_client_out_c_valid=1，auto_client_out_c_ready=1，
auto_client_out_c_bits_address[36:12]=max",,,tlcc_gp,tc_dcache_release,,,,
,,,,,,"当前存在正在执行的miss写回请求时，Tilelink总线acquire通道可接受请求,c_address pg_idx部分为rand",Tilelink总线写回数据正确,"auto_client_out_c_valid，auto_client_out_c_ready，
auto_client_out_c_bits_address[36:12],","auto_client_out_c_valid=1，auto_client_out_c_ready=1，
auto_client_out_c_bits_address[36:12]=rand",,,tlcc_gp,tc_dcache_release,,,,
,,,,,,"当前存在正在执行的miss写回请求时，Tilelink总线acquire通道可接受请求,c_address pg_idx部分为min",Tilelink总线写回数据正确,"auto_client_out_c_valid，auto_client_out_c_ready，
auto_client_out_c_bits_address[11:6],","auto_client_out_c_valid=1，auto_client_out_c_ready=1，
auto_client_out_c_bits_address[11:6]=min",,,tlcc_gp,tc_dcache_release,,,,
,,,,,,"当前存在正在执行的miss写回请求时，Tilelink总线acquire通道可接受请求,c_address pg_idx部分为max",Tilelink总线写回数据正确,"auto_client_out_c_valid，auto_client_out_c_ready，
auto_client_out_c_bits_address[11:6],","auto_client_out_c_valid=1，auto_client_out_c_ready=1，
auto_client_out_c_bits_address[11:6]=max",,,tlcc_gp,tc_dcache_release,,,,
,,,,,,"当前存在正在执行的miss写回请求时，Tilelink总线acquire通道可接受请求,c_address pg_idx部分为rand",Tilelink总线写回数据正确,"auto_client_out_c_valid，auto_client_out_c_ready，
auto_client_out_c_bits_address[11:6],","auto_client_out_c_valid=1，auto_client_out_c_ready=1，
auto_client_out_c_bits_address[11:6]=rand",,,tlcc_gp,tc_dcache_release,,,,
,,,release通道data（Tilelink C通道）,,,,,,,,,,,,,,
,,,,,,"当前存在正在执行的miss写回请求时，Tilelink总线release通道可接受请求,c_data=min",Tilelink总线写回数据正确,"auto_client_out_c_valid，auto_client_out_c_ready，
auto_client_out_c_bits_data,","auto_client_out_c_valid=1，
auto_client_out_c_ready=1，
auto_client_out_c_bits_data=min,",,,tlcc_gp,tc_dcache_release,,,,
,,,,,,"当前存在正在执行的miss写回请求时，Tilelink总线release通道可接受请求,c_data=max",Tilelink总线写回数据正确,"auto_client_out_c_valid，auto_client_out_c_ready，
auto_client_out_c_bits_data,","auto_client_out_c_valid=1，
auto_client_out_c_ready=1，
auto_client_out_c_bits_data=max,",,,tlcc_gp,tc_dcache_release,,,,
,,,,,,"当前存在正在执行的miss写回请求时，Tilelink总线release通道可接受请求,c_data=rand",Tilelink总线写回数据正确,"auto_client_out_c_valid，auto_client_out_c_ready，
auto_client_out_c_bits_data,","auto_client_out_c_valid=1，
auto_client_out_c_ready=1，
auto_client_out_c_bits_data=rand,",,,tlcc_gp,tc_dcache_release,,,,
,,,releaseAck通道ready/valid（Tilelink D通道）,,,,,,,,,,,,,,
,,,,,,"当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道可接受请求,请求有效",releaseAck回复正常,auto_client_out_d_valid，auto_client_out_d_ready，,"auto_client_out_d_valid=1，
auto_client_out_d_ready=1，",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,"当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道可接受请求,请求无效",等待releaseAck,auto_client_out_d_valid，auto_client_out_d_ready，,"auto_client_out_d_valid=0，
auto_client_out_d_ready=1，",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,"当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道不可接受请求,请求有效",等待通道空闲后，releaseAck正常回复,auto_client_out_d_valid，auto_client_out_d_ready，,"auto_client_out_d_valid=1，
auto_client_out_d_ready=0，",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,"当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道不可接受请求,请求无效",等待releaseAck,auto_client_out_d_valid，auto_client_out_d_ready，,"auto_client_out_d_valid=0，
auto_client_out_d_ready=0，",,,tlcd_gp,tc_dcache_release,,,,
,,,releaseAck通道source（Tilelink D通道）,,,,,,,,,,,,,,
,,,,,,当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道soure为‘h11,releaseAck回复正常,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source","auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
auto_client_out_d_source=17",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道soure为'h12,releaseAck回复正常,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source","auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
auto_client_out_d_source=18",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道soure为'h13,releaseAck回复正常,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source","auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
auto_client_out_d_source=19",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道soure为'h14,releaseAck回复正常,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source","auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
auto_client_out_d_source=20",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道soure为'h15,releaseAck回复正常,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source","auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
auto_client_out_d_source=21",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道soure为'h16,releaseAck回复正常,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source","auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
auto_client_out_d_source=22",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道soure为'h17,releaseAck回复正常,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source","auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
auto_client_out_d_source=23",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道soure为'h18,releaseAck回复正常,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source","auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
auto_client_out_d_source=24",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道soure为'h19,releaseAck回复正常,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source","auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
auto_client_out_d_source=25",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道soure为'h1a,releaseAck回复正常,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source","auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
auto_client_out_d_source=26",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道soure为'h1b,releaseAck回复正常,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source","auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
auto_client_out_d_source=27",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道soure为'h1c,releaseAck回复正常,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source","auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
auto_client_out_d_source=28",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道soure为'h1d,releaseAck回复正常,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source","auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
auto_client_out_d_source=29",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道soure为'h1e,releaseAck回复正常,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source","auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
auto_client_out_d_source=30",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道soure为'h1f,releaseAck回复正常,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source","auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
auto_client_out_d_source=31",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道soure为'h20,releaseAck回复正常,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source","auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
auto_client_out_d_source=32",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道soure为'h21,releaseAck回复正常,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source","auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
auto_client_out_d_source=33",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,当前存在正在执行的miss写回请求时，Tilelink总线releaseAck通道soure为'h22,releaseAck回复正常,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source","auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
auto_client_out_d_source=34",,,tlcd_gp,tc_dcache_release,,,,
,,,,,,,,,,,,,,,,,
6,多个请求组合 45,,,,,,,,,,,,,,,,
,,Probe被阻塞,,,,,,,,,,,tc_dcache_miss_block,tc_dcache_full_block,tc_dcache_atom_block,,
,,,,,,当MissQueue中存在被Probe相同的物理地址(req_addr)，Probe被阻塞,MissQueue完成对req_addr的数据获取操作后，Probe指令才会正常执行,"auto_client_out_b_valid,
auto_client_out_b_valid_bits_addr,
MissEntry_i.req_addr,","auto_client_out_b_valid=1,
auto_client_out_b_valid_bits_addr=MissEntry_i.req_addr,",,,block_probe_gp,tc_dcache_miss_block,,,,
,,,,,,当probeEntry满后，Probe被阻塞,当probeEntry有空项后，后续的probe指令才会正常执行,"auto_client_out_b_valid,
io_mem_probe_ready","auto_client_out_b_valid=1,
io_mem_probe_ready=0",,,block_probe_gp,tc_dcache_full_block,,,,
,,,,,,当AMO LR指令设置reservation set，访问reservation set的Probe指令会被阻塞,当reservation set失效后，probe指令才会正常执行,"auto_client_out_b_valid,
auto_client_out_b_valid_bits_addr,
io_lrsc_locked_block_valid,
io_lrsc_locked_block_bits","auto_client_out_b_valid=1,
auto_client_out_b_valid_bits_addr=io_lrsc_locked_block_bits,
io_lrsc_locked_block_valid=1,

",,,block_probe_gp,tc_dcache_atom_block,,,,
,,D请求被阻塞,,,,,,,,,,,,,,,
,,,,,,"A请求tag存在 missQ,权限BTOT，另外存在missB请求替换该路，并且probe地址B",当probe处理结束才会回复A的grant,"auto_client_out_b_valid,
auto_client_out_b_valid_bits_addr,","auto_client_out_b_valid=1
auto_client_out_b_valid_bits_addr,",,,,"tc_dcache_probe_replace_block;
tc_dcache_probe_replcace_block_prefetch",,,,
,,,,,,"cacheline里存在别名A, PA=PA1。发送别名B请求miss, PA=PA1。一个回填C请求, PA=PA2。再发生一个probe D, PA=PA2",C请求miss需要替换别名A，但是别名A的PA1在missQueue里面，导致替换失败，重发，probe PA2先于Grant B发出，需等待probe处理完成，才能发Grant B，,"auto_client_out_b_valid,
auto_client_out_b_valid_bits_addr,","auto_client_out_b_valid=1
auto_client_out_b_valid_bits_addr,",,,,tc_alias_miss_block,,,,
,,Miss Entry合并/拒绝  ,,,,,,,,,,,tc_dacche_miss_ld_merge_ld,tc_dacche_miss_ld_merge_st,tc_dacche_miss_st_merge_ld,tc_dacche_miss_ld_reject_ld,tc_dacche_miss_ld_reject_st
,,,Miss Entry合并,,,,,,,,,,,,,,
,,,,,,"A是load0请求,B是load0请求,请求地址都为rand_same,向L2的acquire还没握手,A已分配Miss Entry,B请求再发起并且Miss","A合并B,Tilelink总线取回数据正确","io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_0_req_bits_addr,
auto_client_out_a_valid，auto_client_out_a_ready，","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_0_req_bits_addr=rand_same,
auto_client_out_a_valid=0，
auto_client_out_a_ready=1，",,,missq_gp,tc_dcache_miss_ld_merge_ld,,,,
,,,,,,"A是load1请求,B是load1请求,请求地址都为rand_same,向L2的acquire还没握手,A已分配Miss Entry,B请求再发起并且Miss","A合并B,Tilelink总线取回数据正确","io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_1_req_bits_addr,
auto_client_out_a_valid，auto_client_out_a_ready，","io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_1_req_bits_addr=rand_same,
auto_client_out_a_valid=0，
auto_client_out_a_ready=1，",,,missq_gp,tc_dcache_miss_ld_merge_ld,,,,
,,,,,,"A是load2请求,B是load2请求,请求地址都为rand_same,向L2的acquire还没握手,A已分配Miss Entry,B请求再发起并且Miss","A合并B,Tilelink总线取回数据正确","io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_req_bits_addr,
auto_client_out_a_valid，auto_client_out_a_ready，","io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=1,
io_lsu_load_2_req_bits_addr=rand_same,
auto_client_out_a_valid=0，
auto_client_out_a_ready=1，",,,missq_gp,tc_dcache_miss_ld_merge_ld,,,,
,,,,,,"A是load0请求,B是load1请求,请求地址都为rand_same,向L2的acquire还没握手,A已分配Miss Entry,B请求再发起并且Miss","A合并B,Tilelink总线取回数据正确","io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_0_req_bits_addr,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_1_req_bits_addr,
auto_client_out_a_valid，auto_client_out_a_ready，","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_0_req_bits_addr=rand_same,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_1_req_bits_addr=rand_same,
auto_client_out_a_valid=0，
auto_client_out_a_ready=1，",,,missq_gp,tc_dcache_miss_ld_merge_ld,,,,
,,,,,,"A是load1请求,B是load0请求,请求地址都为rand_same,向L2的acquire还没握手,A已分配Miss Entry,B请求再发起并且Miss","A合并B,Tilelink总线取回数据正确","io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_0_req_bits_addr,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_1_req_bits_addr,
auto_client_out_a_valid，auto_client_out_a_ready，","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_0_req_bits_addr=rand_same,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_1_req_bits_addr=rand_same,
auto_client_out_a_valid=0，
auto_client_out_a_ready=1，",,,missq_gp,tc_dcache_miss_ld_merge_ld,,,,
,,,,,,"A是load0请求,B是load2请求,请求地址都为rand_same,向L2的acquire还没握手,A已分配Miss Entry,B请求再发起并且Miss","A合并B,Tilelink总线取回数据正确","io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_0_req_bits_addr,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_req_bits_addr,
auto_client_out_a_valid，auto_client_out_a_ready，","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_0_req_bits_addr=rand_same,
io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=1,
io_lsu_load_2_req_bits_addr=rand_same,
auto_client_out_a_valid=0，
auto_client_out_a_ready=1，",,,missq_gp,tc_dcache_miss_ld_merge_ld,,,,
,,,,,,"A是load2请求,B是load0请求,请求地址都为rand_same,向L2的acquire还没握手,A已分配Miss Entry,B请求再发起并且Miss","A合并B,Tilelink总线取回数据正确","io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_0_req_bits_addr,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_req_bits_addr,
auto_client_out_a_valid，auto_client_out_a_ready，","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_0_req_bits_addr=rand_same,
io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=1,
io_lsu_load_2_req_bits_addr=rand_same,
auto_client_out_a_valid=0，
auto_client_out_a_ready=1，",,,missq_gp,tc_dcache_miss_ld_merge_ld,,,,
,,,,,,"A是load1请求,B是load2请求,请求地址都为rand_same,向L2的acquire还没握手,A已分配Miss Entry,B请求再发起并且Miss","A合并B,Tilelink总线取回数据正确","io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_1_req_bits_addr,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_req_bits_addr,
auto_client_out_a_valid，auto_client_out_a_ready，","io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_1_req_bits_addr=rand_same,
io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=1,
io_lsu_load_2_req_bits_addr=rand_same,
auto_client_out_a_valid=0，
auto_client_out_a_ready=1，",,,missq_gp,tc_dcache_miss_ld_merge_ld,,,,
,,,,,,"A是load2请求,B是load1请求,请求地址都为rand_same,向L2的acquire还没握手,A已分配Miss Entry,B请求再发起并且Miss","A合并B,Tilelink总线取回数据正确","io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_1_req_bits_addr,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_req_bits_addr,
auto_client_out_a_valid，auto_client_out_a_ready，","io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_1_req_bits_addr=rand_same,
io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=1,
io_lsu_load_2_req_bits_addr=rand_same,
auto_client_out_a_valid=0，
auto_client_out_a_ready=1，",,,missq_gp,tc_dcache_miss_ld_merge_ld,,,,
,,,,,,"A是load0请求,B是store请求,请求地址都为rand_same,向L2的acquire还没握手,A已分配Miss Entry,B请求再发起并且Miss","A合并B,Tilelink总线取回数据正确","io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_0_req_bits_addr,
io_lsu_store_req_ready,
io_lsu_store_req_valid,
io_lsu_store_req_bits_addr,
auto_client_out_a_valid，auto_client_out_a_ready，","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_0_req_bits_addr=rand_same,
io_lsu_store_req_ready=1,
io_lsu_store_req_valid=1,
io_lsu_store_req_bits_addr=rand_same,
auto_client_out_a_valid=0，
auto_client_out_a_ready=1，",,,missq_gp,tc_dcache_miss_ld_merge_st,,,,
,,,,,,"A是load1请求,B是store请求,请求地址都为rand_same,向L2的acquire还没握手,A已分配Miss Entry,B请求再发起并且Miss","A合并B,Tilelink总线取回数据正确","io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_1_req_bits_addr,
io_lsu_store_req_ready,
io_lsu_store_req_valid,
io_lsu_store_req_bits_addr,
auto_client_out_a_valid，auto_client_out_a_ready，","io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_1_req_bits_addr=rand_same,
io_lsu_store_req_ready=1,
io_lsu_store_req_valid=1,
io_lsu_store_req_bits_addr=rand_same,
auto_client_out_a_valid=0，
auto_client_out_a_ready=1，",,,missq_gp,tc_dcache_miss_ld_merge_st,,,,
,,,,,,"A是load2请求,B是store请求,请求地址都为rand_same,向L2的acquire还没握手,A已分配Miss Entry,B请求再发起并且Miss","A合并B,Tilelink总线取回数据正确","io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_req_bits_addr,
io_lsu_store_req_ready,
io_lsu_store_req_valid,
io_lsu_store_req_bits_addr,
auto_client_out_a_valid，auto_client_out_a_ready，","io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=1,
io_lsu_load_2_req_bits_addr=rand_same,
io_lsu_store_req_ready=1,
io_lsu_store_req_valid=1,
io_lsu_store_req_bits_addr=rand_same,
auto_client_out_a_valid=0，
auto_client_out_a_ready=1，",,,missq_gp,tc_dcache_miss_ld_merge_st,,,,
,,,,,,"A是load0请求,B是load0请求,请求地址都为rand_same,收到Grant(Data)但还没转发给Load Unit,A已分配Miss Entry,B请求再发起并且Miss","A在refill前合并B,Tilelink总线取回数据正确","io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_0_req_bits_addr,
auto_client_out_d_valid，auto_client_out_d_ready，
refillPipe_io_req_ready,
refillPipe_io_req_valid,","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_0_req_bits_addr=rand_same,
auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
refillPipe_io_req_ready=1,
refillPipe_io_req_valid=0,",,,missq_gp,tc_dcache_miss_ld_merge_ld,,,,
,,,,,,"A是load1请求,B是load1请求,请求地址都为rand_same,收到Grant(Data)但还没转发给Load Queue,A已分配Miss Entry,B请求再发起并且Miss","A在refill前合并B,Tilelink总线取回数据正确","io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_1_req_bits_addr,
auto_client_out_a_valid，auto_client_out_a_ready，
refillPipe_io_req_ready,
refillPipe_io_req_valid,","io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_1_req_bits_addr=rand_same,
auto_client_out_a_valid=1，
auto_client_out_a_ready=1，
refillPipe_io_req_ready=1,
refillPipe_io_req_valid=0,",,,missq_gp,tc_dcache_miss_ld_merge_ld,,,,
,,,,,,"A是load2请求,B是load2请求,请求地址都为rand_same,收到Grant(Data)但还没转发给Load Unit,A已分配Miss Entry,B请求再发起并且Miss","A在refill前合并B,Tilelink总线取回数据正确","io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_req_bits_addr,
auto_client_out_a_valid，auto_client_out_a_ready，
refillPipe_io_req_ready,
refillPipe_io_req_valid,","io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=1,
io_lsu_load_2_req_bits_addr=rand_same,
auto_client_out_a_valid=1，
auto_client_out_a_ready=1，
refillPipe_io_req_ready=1,
refillPipe_io_req_valid=0,",,,missq_gp,tc_dcache_miss_ld_merge_ld,,,,
,,,,,,"A是load0请求,B是load1请求,请求地址都为rand_same,收到Grant(Data)但还没转发给Load Unit,A已分配Miss Entry,B请求再发起并且Miss","A在refill前合并B,Tilelink总线取回数据正确","io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_0_req_bits_addr,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_1_req_bits_addr,
auto_client_out_d_valid，auto_client_out_d_ready，
refillPipe_io_req_ready,
refillPipe_io_req_valid,","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_0_req_bits_addr=rand_same,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_1_req_bits_addr=rand_same,
auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
refillPipe_io_req_ready=1,
refillPipe_io_req_valid=0,",,,missq_gp,tc_dcache_miss_ld_merge_ld,,,,
,,,,,,"A是load1请求,B是load0请求,请求地址都为rand_same,收到Grant(Data)但还没转发给Load Unit,A已分配Miss Entry,B请求再发起并且Miss","A在refill前合并B,Tilelink总线取回数据正确","io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_0_req_bits_addr,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_1_req_bits_addr,
auto_client_out_d_valid，auto_client_out_d_ready，
refillPipe_io_req_ready,
refillPipe_io_req_valid,","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_0_req_bits_addr=rand_same,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_1_req_bits_addr=rand_same,
auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
refillPipe_io_req_ready=1,
refillPipe_io_req_valid=0,",,,missq_gp,tc_dcache_miss_ld_merge_ld,,,,
,,,,,,"A是load0请求,B是load2请求,请求地址都为rand_same,收到Grant(Data)但还没转发给Load Unit,A已分配Miss Entry,B请求再发起并且Miss","A在refill前合并B,Tilelink总线取回数据正确","io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_0_req_bits_addr,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_req_bits_addr,
auto_client_out_d_valid，auto_client_out_d_ready，
refillPipe_io_req_ready,
refillPipe_io_req_valid,","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_0_req_bits_addr=rand_same,
io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=1,
io_lsu_load_2_req_bits_addr=rand_same,
auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
refillPipe_io_req_ready=1,
refillPipe_io_req_valid=0,",,,missq_gp,tc_dcache_miss_ld_merge_ld,,,,
,,,,,,"A是load2请求,B是load0请求,请求地址都为rand_same,收到Grant(Data)但还没转发给Load Unit,A已分配Miss Entry,B请求再发起并且Miss","A在refill前合并B,Tilelink总线取回数据正确","io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_0_req_bits_addr,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_req_bits_addr,
auto_client_out_d_valid，auto_client_out_d_ready，
refillPipe_io_req_ready,
refillPipe_io_req_valid,","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_0_req_bits_addr=rand_same,
io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=1,
io_lsu_load_2_req_bits_addr=rand_same,
auto_client_out_d_valid=1，
auto_client_out_d_ready=1，
refillPipe_io_req_ready=1,
refillPipe_io_req_valid=0,",,,missq_gp,tc_dcache_miss_ld_merge_ld,,,,
